{'text': '/Розклад завтра', 'chat_id': 893937933, 'date': '16:22:20', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '16:27:29', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '16:30:42', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '16:31:34', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '16:32:00', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '16:36:49', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '16:37:16', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад сьогодні', 'chat_id': 893937933, 'date': '17:00:51', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:39:00', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:39:51', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:40:14', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:40:39', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:40:58', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:41:12', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:41:30', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:41:35', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:41:55', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:42:16', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:42:33', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:42:46', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:43:09', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:43:42', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:43:52', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:44:05', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:44:27', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:44:47', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:44:57', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:45:09', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:45:41', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:46:06', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:46:29', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:46:47', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:47:01', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:47:23', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:47:39', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:47:59', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:48:12', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:48:53', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:49:06', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/Розклад', 'chat_id': 893937933, 'date': '17:49:41', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
