{'text': '/start', 'chat_id': 893937933, 'date': '00:40:58', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': '/start', 'chat_id': 893937933, 'date': '00:40:58', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ', 'text_': 'Новий користувач (893937933)'}Новий користувач (893937933)
{'text': 'Game', 'chat_id': 893937933, 'date': '00:41:04', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': 'Game', 'chat_id': 893937933, 'date': '00:48:49', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': 'Game', 'chat_id': 893937933, 'date': '00:53:20', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': 'Game', 'chat_id': 893937933, 'date': '00:53:40', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': 'Game', 'chat_id': 893937933, 'date': '00:53:53', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': 'Game', 'chat_id': 893937933, 'date': '18:14:22', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': 'Game', 'chat_id': 893937933, 'date': '18:15:41', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': 'Інше питання➡️', 'chat_id': 893937933, 'date': '18:15:44', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': 'Відмінити', 'chat_id': 893937933, 'date': '18:15:51', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': 'Game', 'chat_id': 893937933, 'date': '18:16:19', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': 'Інше питання➡️', 'chat_id': 893937933, 'date': '18:16:21', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': 'Інше питання➡️', 'chat_id': 893937933, 'date': '18:16:24', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': 'Інше питання➡️', 'chat_id': 893937933, 'date': '18:16:26', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': 'Інше питання➡️', 'chat_id': 893937933, 'date': '18:16:29', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': 'Game', 'chat_id': 893937933, 'date': '18:22:22', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': 'Game', 'chat_id': 893937933, 'date': '18:22:28', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': 'Інше питання➡️', 'chat_id': 893937933, 'date': '18:22:30', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': 'Інше питання➡️', 'chat_id': 893937933, 'date': '18:22:31', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': 'Інше питання➡️', 'chat_id': 893937933, 'date': '18:22:33', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': 'Інше питання➡️', 'chat_id': 893937933, 'date': '18:22:36', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
{'text': 'Game', 'chat_id': 893937933, 'date': '19:21:46', 'username': 'Crowspirit', 'first_name': 'Bogdan', 'last_name': 'ꑭ'}
